人物,出现次数
刘备,1025
诸葛亮,988
曹操,934
关羽,602
二人,465
孔明曰,385
玄德曰,383
张飞,348
吕布,300
孙权,264
赵云,255
魏兵,223
司马懿,221
周瑜,217
魏延,212
袁绍,190
夏侯,185
马超,185
姜维,179
黄忠,168
令人,145
马岱,127
庞德,122
刘表,119
张辽,119
曹兵,116
董卓,114
徐晃,113
孙策,108
鲁肃,107
邓艾,106
文武,100
伏兵,92
许褚,92
兄弟,89
司马昭,89
夏侯渊,88
大王,88
王平,88
曹仁,86
大将军,83
刘璋,83
吕蒙,83
张苞,81
诸葛,80
袁术,78
孟获,78
曹洪,77
陆逊,74
孟达,73
吴兵,72
曹真,71
许昌,70
张翼,70
曹丕,67
李典,65
玄德大,64
蔡瑁,63
廖化,62
太史慈,61
郭淮,61
吴侯,60
孙乾,59
曹军,58
勒马,57
汝二人,55
庞统,54
诸侯,53
徐盛,53
黄盖,52
张嶷,52
韩遂,51
司马师,51
孙坚,49
太后,49
张昭,49
张鲁,49
刘封,49
闻言,48
司马,48
糜竺,48
杨仪,48
夏侯霸,48
孔明笑,46
张任,46
公孙瓒,45
老夫,45
贾诩,45
子龙,44
周泰,44
丁奉,44
邓芝,44
陈宫,43
黄祖,43
程普,42
郭汜,41
有诗赞,41
操大喜,41
黄巾,40
程昱,40
